date,name,buys,growth,adjGrowth
1985-03-31,WrestleMania,398000,,
1985-11-07,The Wrestling Classic,116000,,
1986-04-07,WrestleMania 2,319000,-0.198492462311558,
1987-03-29,WrestleMania III,400000,0.253918495297806,
1987-11-26,Survivor Series '87,325000,,
1988-03-27,WrestleMania IV,485000,0.2125,
1988-08-29,SummerSlam '88,400000,,
1988-11-24,Survivor Series '88,310000,-0.046153846153846,
1989-01-15,Royal Rumble '89,165000,,
1989-04-02,WrestleMania V,767000,0.581443298969072,
1989-08-28,SummerSlam '89,625000,0.5625,
1989-11-23,Survivor Series '89,385000,0.241935483870968,-0.161064649867569
1989-12-12,No Holds Barred: The Match/ The Movie Taping,176000,,
1990-01-21,Royal Rumble '90,260000,0.575757575757576,0.514206151075293
1990-04-01,WrestleMania VI,560000,-0.269882659713168,-0.456274751794719
1990-08-27,SummerSlam '90,507000,-0.1888,-0.194632949858757
1990-11-22,Survivor Series '90,400000,0.038961038961039,0.272530909955234
1991-01-19,Royal Rumble '91,440000,0.692307692307692,0.846109178544603
1991-03-24,WrestleMania VII,400000,-0.285714285714286,-0.288138994932721
1991-08-26,SummerSlam '91,405000,-0.201183431952663,-0.200636787793582
1991-11-27,Survivor Series '91,300000,-0.25,-0.250353133353638
1991-12-03,This Tuesday in Texas,400000,0,0.019236970099109
1992-01-19,Royal Rumble '92,260000,-0.409090909090909,-0.354515502639276
1992-04-05,WrestleMania VIII,390000,-0.025,0.190873847169228
1992-08-29,SummerSlam '92,280000,-0.308641975308642,-0.29846805932118
1992-11-25,Survivor Series '92,250000,-0.166666666666667,-0.164817258216396
1993-01-24,Royal Rumble '93,300000,0.153846153846154,0.154201798875276
1993-04-04,WrestleMania IX,430000,0.102564102564103,0.103008189098971
1993-06-13,King of the Ring '93,245000,,
1993-08-30,SummerSlam '93,250000,-0.107142857142857,-0.233671038619647
1993-11-24,Survivor Series '93,180000,-0.28,-0.287008686520663
1994-01-22,Royal Rumble '94,200000,-0.333333333333333,-0.332917465950636
1994-03-20,WrestleMania X,420000,-0.023255813953489,0.112348665631609
1994-06-19,King of the Ring '94,185000,-0.244897959183674,-0.115305829219178
1994-08-29,SummerSlam '94,300000,0.2,0.272278940735135
1994-11-23,Survivor Series '94,254000,0.411111111111111,0.393609898791219
1995-01-22,Royal Rumble '95,225000,0.125,-0.202440601683234
1995-04-02,WrestleMania XI,340000,-0.190476190476191,-0.443261668867198
1995-05-14,In Your House: Premiere,332000,,
1995-06-25,King of the Ring '95,150000,-0.189189189189189,-0.190219299907822
1995-07-23,In Your House 2: The Lumberjacks,280000,,
1995-08-27,SummerSlam '95,205000,-0.316666666666667,-0.31110559823159
1995-09-24,In Your House 3: Triple Header,280000,,
1995-10-22,In Your House 4: Great White North,160000,,
1995-11-19,Survivor Series '95,128000,-0.496062992125984,-0.127547819813351
1995-12-17,In Your House 5: Season's Beatings,120000,,
1996-01-21,Royal Rumble '96,260000,0.155555555555555,0.797513347239247
1996-02-18,In Your House 6: Rage In The Cage,308000,-0.072289156626506,-0.063726158415189
1996-03-31,WrestleMania XII,290000,-0.147058823529412,-0.142105804249888
1996-04-28,"In Your House 7: Good Friends, Better Enemies",324000,-0.024096385542169,-0.02140129927621
1996-05-26,In Your House 8: Beware Of Dog (1),180000,-0.457831325301205,-0.479939779200511
1996-05-28,In Your House 8: Beware Of Dog (2),180000,-0.457831325301205,-0.456144280780708
1996-06-23,King of the Ring '96,197000,0.313333333333333,0.771026104107969
1996-07-21,In Your House 9: International Incident,148000,-0.471428571428571,-0.470529839536188
1996-08-18,SummerSlam '96,157000,-0.234146341463415,-0.231316619914999
1996-09-22,In Your House 10: Mind Games,192000,-0.314285714285714,-0.313542212815061
1996-10-20,In Your House 11: Buried Alive,160000,0,0.002406930296577
1996-11-17,Survivor Series '96,199000,0.5546875,0.556364355125968
1996-12-15,In Your House 12: It's Time,140000,0.166666666666667,0.139539142413894
1997-01-19,Royal Rumble '97,244000,-0.061538461538462,-0.441511591189808
1997-02-16,In Your House 13: Final Four,200000,-0.350649350649351,-0.423208212143395
1997-03-23,WrestleMania 13,237000,-0.182758620689655,-0.18165264401913
1997-04-20,In Your House 14: Revenge Of The 'Taker,200000,-0.382716049382716,-0.225385432532789
1997-05-11,In Your House 15: A Cold Day In Hell,228000,-0.296296296296296,0.233713422285943
1997-06-08,King of the Ring '97,177000,-0.101522842639594,0.212926439204474
1997-07-06,In Your House 16: Canadian Stampede,236000,0.594594594594595,0.596861640238496
1997-08-03,SummerSlam '97,235000,0.496815286624204,0.285976008539925
1997-09-07,In Your House 17: Ground Zero,180000,-0.0625,-0.530490052682894
1997-10-05,In Your House 18: Badd Blood,240000,0.25,0.06034079356131
1997-11-09,Survivor Series '97,250000,0.256281407035176,0.184511799783611
1997-12-07,In Your House 19: D-Generation X,176000,0.257142857142857,0.256788597805161
1998-01-18,Royal Rumble '98,351000,0.438524590163935,0.41727190199166
1998-02-15,No Way Out of Texas,189000,-0.055,-0.066540125430364
1998-03-29,WrestleMania XIV,730000,2.08016877637131,2.07380809371608
1998-04-26,Unforgiven '98,309000,0.545,0.07932784675821
1998-05-31,Over the Edge '98,211000,0.192090395480226,-0.058771137162701
1998-06-28,King of the Ring '98,310000,0.751412429378531,0.73396234537703
