"date","name","headliners","features"
"1985-03-31","WrestleMania","hulk-hogan-19, mr-t-20, paul-orndorff-22, roddy-piper-21","wendi-richter-17, leilani-kai-18, andre-the-giant-15, big-john-studd-16, nikolai-volkoff-11, the-iron-sheik-12, barry-windham-14, mike-rotundo-13, the-junkyard-dog-9, greg-valentine-10"
"1985-11-07","The Wrestling Classic","the-junkyard-dog-9, randy-savage-27","hulk-hogan-19, roddy-piper-21"
"1986-04-07","WrestleMania 2","hulk-hogan-19, king-kong-bundy-3","andre-the-giant-15, b-brian-blair-49, big-john-studd-16, bill-fralic-51, bret-hart-52, bruno-sammartino-55, dan-spivey-45, ernie-holmes-48, harvey-martin-44, hillbilly-jim-46, jim-brunzell-50, jim-neidhart-53, jimbo-covert-40, haku-47, pedro-morales-41, russ-francis-54, ted-arcidi-43, the-iron-sheik-12, tony-atlas-42, william-perry-56, mr-t-20, roddy-piper-21"
"1987-03-29","WrestleMania III","hulk-hogan-19, andre-the-giant-15",""
"1987-11-26","Survivor Series '87","andre-the-giant-15, butch-reed-71, king-kong-bundy-3, one-man-gang-85, rick-rude-87, bam-bam-bigelow-86, don-muraco-32, hulk-hogan-19, ken-patera-77, paul-orndorff-22","b-brian-blair-49, davey-boy-smith-29, dynamite-kid-26, jacques-rougeau-jr-68, jim-brunzell-50, jim-powers-76, paul-roma-78, raymond-rougeau-69, rick-martel-60, tito-santana-1, bill-eadie-91, boris-zhukov-75, bret-hart-52, dino-bravo-84, greg-valentine-10, haku-47, jim-neidhart-53, nikolai-volkoff-11, barry-darsow-92, the-tonga-kid-89, itsuki-yamazaki-472, noriyo-tateno-471, rockin39-robin-115, the-fabulous-moolah-38, velvet-mcintyre-39, dawn-marie-474, donna-christanello-473, judy-martin-116, leilani-kai-18, sherri-martel-111, brutus-beefcake-8, jake-roberts-37, jim-duggan-83, randy-savage-27, ricky-steamboat-5, danny-davis-70, harley-race-67, ray-fernandez-57, honky-tonk-man-73, ron-bass-79"
"1988-03-27","WrestleMania IV","randy-savage-27, ted-dibiase-82","bill-eadie-91, barry-darsow-92, rick-martel-60, tito-santana-1"
"1988-08-29","SummerSlam '88","hulk-hogan-19, randy-savage-27, andre-the-giant-15, ted-dibiase-82",""
"1988-11-24","Survivor Series '88","ray-fernandez-57, hillbilly-jim-46, hulk-hogan-19, koko-b-ware-72, randy-savage-27, one-man-gang-85, big-boss-man-95, haku-47, ted-dibiase-82, terry-taylor-107","andre-the-giant-15, dino-bravo-84, harley-race-67, curt-hennig-100, rick-rude-87, jake-roberts-37, jim-duggan-83, ken-patera-77, scott-casey-477, tito-santana-1, bret-hart-52, davey-boy-smith-29, dynamite-kid-26, jim-neidhart-53, jim-powers-76, marty-jannetty-97, paul-roma-78, shawn-michaels-96, the-barbarian-93, the-warlord-94, arn-anderson-105, bill-eadie-91, boris-zhukov-75, jose-estrada-sr-476, jose-luis-rivera-475, jacques-rougeau-jr-68, nikolai-volkoff-11, raymond-rougeau-69, barry-darsow-92, tully-blanchard-106, brutus-beefcake-8, jim-brunzell-50, sam-houston-80, owen-hart-101, the-ultimate-warrior-88, bad-news-brown-74, danny-davis-70, greg-valentine-10, honky-tonk-man-73, ron-bass-79"
"1989-01-15","Royal Rumble '89","big-john-studd-16, one-man-gang-85, andre-the-giant-15, arn-anderson-105, bill-eadie-91, bad-news-brown-74, big-boss-man-95, brutus-beefcake-8, butch-miller-99, luke-williams-98, greg-valentine-10, ray-fernandez-57, honky-tonk-man-73, hulk-hogan-19, jake-roberts-37, koko-b-ware-72, marty-jannetty-97, curt-hennig-100, randy-savage-27, rick-martel-60, ron-bass-79, ron-garvin-104, shawn-michaels-96, barry-darsow-92, ted-dibiase-82, the-barbarian-93, terry-taylor-107, the-warlord-94, tito-santana-1, tully-blanchard-106",""
"1989-04-02","WrestleMania V","hulk-hogan-19, randy-savage-27",""
